0
"(datetime.datetime(2023, 1, 8, 10, 27, 4), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'AO1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = 48, OLD VALUE = 16')"
"(datetime.datetime(2023, 1, 8, 10, 36, 52), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = ROUT')"
"(datetime.datetime(2023, 1, 8, 10, 37, 29), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 17, OLD VALUE = 16')"
"(datetime.datetime(2023, 1, 8, 10, 37, 29), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 17, OLD VALUE = 17')"
"(datetime.datetime(2023, 1, 8, 10, 38, 11), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 18, OLD VALUE = 17')"
"(datetime.datetime(2023, 1, 8, 10, 38, 20), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 19, OLD VALUE = 18')"
"(datetime.datetime(2023, 1, 8, 10, 39, 3), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 20, OLD VALUE = 19')"
"(datetime.datetime(2023, 1, 8, 10, 39, 5), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 21, OLD VALUE = 20')"
"(datetime.datetime(2023, 1, 8, 10, 39, 25), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 22, OLD VALUE = 21')"
"(datetime.datetime(2023, 1, 8, 10, 40, 11), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 23, OLD VALUE = 22')"
"(datetime.datetime(2023, 1, 8, 10, 40, 12), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 24, OLD VALUE = 23')"
"(datetime.datetime(2023, 1, 8, 10, 40, 42), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 25, OLD VALUE = 24')"
"(datetime.datetime(2023, 1, 8, 10, 41, 41), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 26, OLD VALUE = 25')"
"(datetime.datetime(2023, 1, 8, 10, 41, 42), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 27, OLD VALUE = 26')"
"(datetime.datetime(2023, 1, 8, 10, 41, 46), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 28, OLD VALUE = 27')"
"(datetime.datetime(2023, 1, 8, 10, 41, 48), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 29, OLD VALUE = 28')"
"(datetime.datetime(2023, 1, 8, 10, 42, 2), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 30, OLD VALUE = 29')"
"(datetime.datetime(2023, 1, 8, 10, 42, 2), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 30, OLD VALUE = 30')"
"(datetime.datetime(2023, 1, 8, 10, 42, 14), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 31, OLD VALUE = 30')"
"(datetime.datetime(2023, 1, 8, 10, 42, 16), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 32, OLD VALUE = 31')"
"(datetime.datetime(2023, 1, 8, 10, 42, 17), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 33, OLD VALUE = 32')"
"(datetime.datetime(2023, 1, 8, 10, 42, 53), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 34, OLD VALUE = 33')"
"(datetime.datetime(2023, 1, 8, 10, 42, 55), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 35, OLD VALUE = 34')"
"(datetime.datetime(2023, 1, 8, 10, 42, 57), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 36, OLD VALUE = 35')"
"(datetime.datetime(2023, 1, 8, 10, 42, 58), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 37, OLD VALUE = 36')"
"(datetime.datetime(2023, 1, 8, 10, 43, 4), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 38, OLD VALUE = 37')"
"(datetime.datetime(2023, 1, 8, 10, 43, 5), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 39, OLD VALUE = 38')"
"(datetime.datetime(2023, 1, 8, 10, 43, 54), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 40, OLD VALUE = 39')"
"(datetime.datetime(2023, 1, 8, 10, 43, 55), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 41, OLD VALUE = 40')"
"(datetime.datetime(2023, 1, 8, 10, 43, 57), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 42, OLD VALUE = 41')"
"(datetime.datetime(2023, 1, 8, 10, 43, 57), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 42, OLD VALUE = 42')"
"(datetime.datetime(2023, 1, 8, 10, 44, 24), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 43, OLD VALUE = 42')"
"(datetime.datetime(2023, 1, 8, 10, 44, 25), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 44, OLD VALUE = 43')"
"(datetime.datetime(2023, 1, 8, 10, 44, 26), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 45, OLD VALUE = 44')"
"(datetime.datetime(2023, 1, 8, 10, 44, 27), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 46, OLD VALUE = 45')"
"(datetime.datetime(2023, 1, 8, 10, 44, 27), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 46, OLD VALUE = 46')"
"(datetime.datetime(2023, 1, 8, 10, 45, 12), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 47, OLD VALUE = 46')"
"(datetime.datetime(2023, 1, 8, 10, 45, 13), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 48, OLD VALUE = 47')"
"(datetime.datetime(2023, 1, 8, 10, 45, 15), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 49, OLD VALUE = 48')"
"(datetime.datetime(2023, 1, 8, 10, 46, 3), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 50, OLD VALUE = 49')"
"(datetime.datetime(2023, 1, 8, 10, 46, 3), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 50, OLD VALUE = 50')"
"(datetime.datetime(2023, 1, 8, 10, 46, 3), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 50, OLD VALUE = 50')"
"(datetime.datetime(2023, 1, 8, 10, 46, 4), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 51, OLD VALUE = 50')"
"(datetime.datetime(2023, 1, 8, 10, 46, 4), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 51, OLD VALUE = 51')"
"(datetime.datetime(2023, 1, 8, 10, 46, 5), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 52, OLD VALUE = 51')"
"(datetime.datetime(2023, 1, 8, 10, 46, 6), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 53, OLD VALUE = 52')"
"(datetime.datetime(2023, 1, 8, 10, 46, 8), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 55, OLD VALUE = 53')"
"(datetime.datetime(2023, 1, 8, 10, 46, 20), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 60, OLD VALUE = 55')"
